Input 1,Input 2
1.76405234596766E+00,4.00157208367223E-01
9.78737984105739E-01,2.24089319920146E+00
1.86755799014997E+00,-9.77277879876411E-01
9.50088417525589E-01,-1.51357208297698E-01
-1.03218851793558E-01,4.10598501938372E-01
1.44043571160878E-01,1.45427350696298E+00
7.61037725146993E-01,1.21675016492828E-01
4.43863232745426E-01,3.33674327374267E-01
1.49407907315761E+00,-2.05158263765801E-01
3.13067701650901E-01,-8.54095739301725E-01
-2.55298981583408E+00,6.53618595440361E-01
8.64436198859506E-01,-7.42165020406442E-01
2.26975462398761E+00,-1.45436567459876E+00
4.57585173014461E-02,-1.87183850025834E-01
1.53277921435846E+00,1.46935876990029E+00
1.54947425696916E-01,3.78162519602174E-01
-8.87785747630113E-01,-1.98079646822393E+00
-3.47912149326153E-01,1.5634896910398E-01
1.23029068072772E+00,1.20237984878441E+00
-3.87326817407952E-01,-3.02302750575336E-01
-1.04855296506709E+00,-1.42001793717898E+00
-1.70627019062501E+00,1.95077539523179E+00
-5.09652181751653E-01,-4.38074301611186E-01
-1.25279536004993E+00,7.7749035583191E-01
-1.61389784755795E+00,-2.12740280213969E-01
-8.95466561193676E-01,3.86902497859262E-01
-5.10805137568873E-01,-1.18063218412241E+00
-2.81822283386549E-02,4.28331870530418E-01
6.65172223831679E-02,3.02471897739781E-01
-6.34322093680964E-01,-3.62741165987138E-01
-6.72460447775951E-01,-3.59553161540541E-01
-8.13146282044454E-01,-1.72628260233168E+00
1.77426142253753E-01,-4.01780936208262E-01
-1.63019834696604E+00,4.62782255525774E-01
-9.07298364383242E-01,5.1945395796139E-02
7.29090562177537E-01,1.28982910757411E-01
1.1394006845433E+00,-1.23482582035365E+00
4.02341641177549E-01,-6.84810090940313E-01
-8.70797149181882E-01,-5.78849664764415E-01
-3.11552532127373E-01,5.61653422297454E-02
-1.16514984078336E+00,9.00826486954187E-01
4.6566243973046E-01,-1.53624368627722E+00
1.4882521937956E+00,1.89588917603058E+00
1.17877957115965E+00,-1.79924835812351E-01
-1.07075262151054E+00,1.05445172693114E+00
-4.0317694697318E-01,1.22244507038243E+00
2.0827497807686E-01,9.76639036483713E-01
3.56366397174402E-01,7.06573168191948E-01
1.05000207208205E-02,1.78587049390584E+00
1.2691209270362E-01,4.01989363444702E-01
1.88315069705625E+00,-1.34775906114245E+00
-1.27048499848573E+00,9.69396708158011E-01
-1.17312340511416E+00,1.94362118564929E+00
-4.13618980759747E-01,-7.47454811440758E-01
1.92294202648038E+00,1.48051479143442E+00
1.86755896042657E+00,9.06044658275385E-01
-8.61225685054703E-01,1.91006495309903E+00
-2.6800337095138E-01,8.02456395796395E-01
9.47251967773748E-01,-1.55010093090834E-01
6.1407937034608E-01,9.22206671566527E-01
3.76425531155629E-01,-1.09940079058419E+00
2.98238174206056E-01,1.32638589668703E+00
-6.94567859731365E-01,-1.49634540327671E-01
-4.35153551721637E-01,1.84926372847934E+00
6.72294757012435E-01,4.0746183624111E-01
-7.69916074445316E-01,5.39249191291817E-01
-6.74332660657376E-01,3.18305582743512E-02
-6.35846078378881E-01,6.764332949465E-01
5.76590816614941E-01,-2.08298755577995E-01
3.96006712661645E-01,-1.09306150873051E+00
-1.49125759270561E+00,4.39391701264537E-01
1.66673495372529E-01,6.35031436892106E-01
2.38314477486394E+00,9.44479486990414E-01
-9.12822225444159E-01,1.11701628809585E+00
-1.31590741051152E+00,-4.61584604814709E-01
-6.82416053246312E-02,1.71334272164937E+00
-7.4475482204844E-01,-8.26438538659014E-01
-9.84525244254323E-02,-6.63478286362107E-01
1.12663592210651E+00,-1.07993150836342E+00
-1.1474686524111E+00,-4.37820044744434E-01
-4.98032450692305E-01,1.92953205381699E+00
9.49420806925761E-01,8.75512413851909E-02
-1.22543551883017E+00,8.44362976401547E-01
-1.00021534738956E+00,-1.54477109677761E+00
1.1880297923523E+00,3.1694261192485E-01
9.20858823780819E-01,3.18727652943021E-01
8.56830611902691E-01,-6.51025593300147E-01
-1.03424284178446E+00,6.81594518281627E-01
-8.03409664173841E-01,-6.895497777502E-01
-4.55532503517343E-01,1.74791590250567E-02
-3.53993911253484E-01,-1.37495129341802E+00
-6.4361840283289E-01,-2.22340315222443E+00
6.25231451027187E-01,-1.60205765560675E+00
-1.10438333942845E+00,5.21650792609744E-02
-7.39562996391313E-01,1.54301459540674E+00
-1.29285690972345E+00,2.67050869349183E-01
-3.92828182274956E-02,-1.1680934977412E+00
5.23276660531754E-01,-1.71546331222248E-01
7.71790551213667E-01,8.23504153963731E-01
2.16323594928069E+00,1.33652794943639E+00
-3.69181837942444E-01,-2.39379177575926E-01
1.09965959588711E+00,6.55263730722598E-01
6.40131526097592E-01,-1.61695604431083E+00
-2.43261243989356E-02,-7.38030909205689E-01
2.79924599043238E-01,-9.81503896429579E-02
9.10178908092592E-01,3.17218215191302E-01
7.86327962108976E-01,-4.66419096735943E-01
-9.4444625591825E-01,-4.10049693202548E-01
-1.70204138614406E-02,3.79151735555082E-01
2.25930895069085E+00,-4.22571516606427E-02
-9.55945000492777E-01,-3.45981775699386E-01
-4.63595974646094E-01,4.81481473773462E-01
-1.54079701444462E+00,6.32619942003317E-02
1.56506537965376E-01,2.32181036200276E-01
-5.97316068965363E-01,-2.37921729736007E-01
-1.42406090898253E+00,-4.93319883362194E-01
-5.42861476016718E-01,4.16050046261425E-01
-1.15618243182191E+00,7.81198101709993E-01
1.49448454449137E+00,-2.06998502501353E+00
4.26258730778101E-01,6.76908035030246E-01
-6.37437025552229E-01,-3.97271814328798E-01
-1.32880577586956E-01,-2.97790879401728E-01
-3.09012969047122E-01,-1.67600380632998E+00
1.15233156478312E+00,1.07961859203682E+00
-8.13364259204203E-01,-1.46642432780251E+00
5.21064876452759E-01,-5.75787969813066E-01
1.4195316332078E-01,-3.19328417145095E-01
6.91538751070187E-01,6.94749143656006E-01
-7.25597378463584E-01,-1.38336395539506E+00
-1.58293839733508E+00,6.10379379107205E-01
-1.18885925778403E+00,-5.06816354298688E-01
-5.96314038450508E-01,-5.25672962695463E-02
-1.93627980584651E+00,1.88778596793829E-01
5.23891023834206E-01,8.84220870446614E-02
-3.10886171698472E-01,9.74001662687834E-02
3.9904634564013E-01,-2.77259275642665E+00
1.95591230825069E+00,3.90093322687926E-01
-6.5240858238702E-01,-3.90953375187601E-01
4.93741777349188E-01,-1.16103939034367E-01
-2.03068446778149E+00,2.06449286135932E+00
-1.10540657232473E-01,1.0201727117158E+00
-6.92049847784391E-01,1.5363770542458E+00
2.8634368889228E-01,6.08843834475451E-01
-1.04525336614695E+00,1.2111452896827E+00
6.89818164534788E-01,1.301846229565E+00
-6.28087559641579E-01,-4.81027118460788E-01
2.30391669768394E+00,-1.06001582272155E+00
-1.35949700678321E-01,1.1368913626027E+00
9.77249677148556E-02,5.82953679753294E-01
-3.99449029262875E-01,3.70055887847519E-01
-1.30652685173532E+00,1.65813067961819E+00
-1.1816404512857E-01,-6.8017820399685E-01
6.66383082031914E-01,-4.60719787388553E-01
-1.33425847140275E+00,-1.34671750579756E+00
6.93773152690133E-01,-1.59573438146267E-01
-1.33701559668439E-01,1.07774380597626E+00
-1.12682580875674E+00,-7.30677752864825E-01
-3.84879809181275E-01,9.4351589317074E-02
-4.21714512905789E-02,-2.86887192389908E-01
-6.16264020956474E-02,-1.07305276291175E-01
-7.19604388551793E-01,-8.12992988554077E-01
2.7451635772394E-01,-8.90915082995528E-01
-1.15735525919085E+00,-3.12292251125693E-01
-1.57667016163816E-01,2.25672349729821E+00
-7.04700275856234E-01,9.43260724969495E-01
7.47188334204632E-01,-1.18894495520374E+00
7.732529774026E-01,-1.18388064019332E+00
-2.65917223799674E+00,6.06319524359381E-01
-1.75589058343772E+00,4.50934461805915E-01
-6.84010897737217E-01,1.65955079618987E+00
1.06850939931601E+00,-4.53385803851388E-01
-6.87837611028682E-01,-1.21407740309412E+00
-4.40922632292591E-01,-2.80355495184509E-01
-3.64693544391685E-01,1.56703855272364E-01
5.78521497728878E-01,3.49654456993174E-01
-7.64143923906443E-01,-1.43779147380158E+00
1.36453184810247E+00,-6.89449184549938E-01
-6.52293599935019E-01,-5.21189312301111E-01
-1.84306955015665E+00,-4.77974004040487E-01
-4.79655814007948E-01,6.20358298343513E-01
6.98457149107336E-01,3.77088908626934E-03
9.31848374114304E-01,3.39964983801262E-01
-1.56821116025548E-02,1.60928168298223E-01
-1.90653493581399E-01,-3.9484951403345E-01
-2.67733536893966E-01,-1.12801133147001E+00
2.80441705316296E-01,-9.93123610929581E-01
8.41631264073636E-01,-2.49458580160949E-01
4.94949816500907E-02,4.93836776280956E-01
6.43314465062928E-01,-1.57062340863345E+00
-2.06903676163972E-01,8.80178912080782E-01
-1.69810581943225E+00,3.87280475395063E-01
-2.25556422940219E+00,-1.0225068436356E+00
3.86305518401881E-02,-1.65671510232195E+00
-9.85510737684151E-01,-1.47183500746359E+00
1.64813493220756E+00,1.64227755487334E-01
5.67290277852669E-01,-2.22675100515154E-01
-3.53431748757199E-01,-1.61647418865103E+00
-2.91837362747863E-01,-7.61492211811623E-01
8.57923924292336E-01,1.14110186665757E+00
1.46657871557418E+00,8.52551939461232E-01
-5.98653936922986E-01,-1.11589698596039E+00
7.66663181645086E-01,3.56292817472289E-01
-1.76853845067703E+00,3.55481792743769E-01
8.14519822487866E-01,5.892558918163E-02
-1.85053671009342E-01,-8.07648487616356E-01
-1.44653469956339E+00,8.00297949340028E-01
-3.09114444771709E-01,-2.33466661543693E-01
1.73272118691913E+00,6.8450110685919E-01
3.70825001281102E-01,1.42061805187236E-01
1.51999486076577E+00,1.71958930741619E+00
9.29505111479528E-01,5.82224591397924E-01
-2.09460307120614E+00,1.23721914233507E-01
-1.30106954193704E-01,9.39532293855687E-02
9.43046087322518E-01,-2.73967716718956E+00
-5.69312053470185E-01,2.69904354940761E-01
-4.66845546052763E-01,-1.41690611312626E+00
8.68963486896795E-01,2.76871905846128E-01
-9.71104570444485E-01,3.14817204515824E-01
8.21585712049796E-01,5.29264629936085E-03
8.00564803430997E-01,7.82601751616614E-02
-3.95228982654354E-01,-1.15942051639991E+00
-8.59307669716127E-02,1.94292938045772E-01
8.75832761587331E-01,-1.15107468487227E-01
4.57415606220991E-01,-9.64612013733728E-01
-7.82629155827525E-01,-1.10389299026888E-01
-1.05462846398501E+00,8.20247837324681E-01
4.63130329318607E-01,2.79095764392453E-01
3.38904125215945E-01,2.0210435614848E+00
-4.68864187966796E-01,-2.20144128550056E+00
1.99300196896465E-01,-5.06035409616659E-02
-5.17519042510403E-01,-9.7882985935877E-01
-4.39189521802148E-01,1.81338429217821E-01
-5.02816700642538E-01,2.41245367954375E+00
-9.60504381633148E-01,-7.93117362707672E-01
-2.28862004001453E+00,2.51484415021537E-01
-2.01640662779976E+00,-5.39454633374501E-01
-2.75670534560557E-01,-7.09727965846888E-01
1.73887267745451E+00,9.94394391315499E-01
1.31913687630158E+00,-8.82418818549919E-01
1.12859406451457E+00,4.96000946343962E-01
7.71405948676846E-01,1.02943882878277E+00
-9.08763245959053E-01,-4.24317620977901E-01
8.62596011328451E-01,-2.65561909297493E+00
1.51332808257321E+00,5.53132064207584E-01
-4.57039606602349E-02,2.20507655757173E-01
-1.02993528330898E+00,-3.49943364589105E-01
1.10028433822037E+00,1.29802197232622E+00
2.69622405256358E+00,-7.39246662804151E-02
-6.58552966805004E-01,-5.14233965939989E-01
-1.01804187528736E+00,-7.78547559408508E-02
3.82732430012268E-01,-3.42422805319539E-02
1.0963468456658E+00,-2.34215801344537E-01
-3.47450652498563E-01,-5.81268476860325E-01
-1.6326345262345E+00,-1.56776772430845E+00
-1.17915793063769E+00,1.30142807166476E+00
8.9526027288993E-01,1.37496406639299E+00
-1.3322116545945E+00,-1.96862468978602E+00
-6.60056320134083E-01,1.75818953296028E-01
4.98690274909827E-01,1.04797215596805E+00
2.84279670807215E-01,1.74266878065563E+00
-2.2260568094832E-01,-9.13079218041796E-01
-1.68121821549443E+00,-8.8897135809545E-01
2.42117960985123E-01,-8.88720257353631E-01
9.36742463535257E-01,1.41232770603744E+00
-2.3695869052266E+00,8.64052300497648E-01
-2.23960405866174E+00,4.01499055090287E-01
1.22487056419366E+00,6.48561063435762E-02
-1.27968917320424E+00,-5.85431204277773E-01
-2.61645445710901E-01,-1.82244783789943E-01
-2.02896840766667E-01,-1.09882779309314E-01
2.13480048910169E-01,-1.20857365373322E+00
-2.4201982987022E-01,1.51826117035571E+00
-3.84645423142518E-01,-4.43836093155198E-01
1.07819730371424E+00,-2.5591846663441E+00
1.18137860128829E+00,-6.31903758005167E-01
1.63928572452587E-01,9.63213559211968E-02
9.42468119220394E-01,-2.67594746235348E-01
-6.7802578156445E-01,1.2978457906511E+00
-2.36417381714118E+00,2.03341817052432E-02
-1.34792542262912E+00,-7.61573388256559E-01
2.01125668146314E+00,-4.4595426455857E-02
1.95069697151381E-01,-1.78156285570559E+00
-7.29044658794696E-01,1.96557400728785E-01
3.54757693113218E-01,6.16886554393279E-01
8.62789891757632E-03,5.2700420845466E-01
4.53781912635684E-01,-1.82974041100453E+00
3.70057219101495E-02,7.67902407732704E-01
5.8987982073452E-01,-3.6385880997079E-01
-8.05626507539368E-01,-1.11831192432163E+00
-1.31054011541412E-01,1.13307987955972E+00
-1.9518041014816E+00,-6.59891729729498E-01
-1.13980245542677E+00,7.849575212405E-01
-5.54309626571301E-01,-4.70637658154791E-01
-2.16949569936649E-01,4.45393250894797E-01
-3.92388998149637E-01,-3.04614305479993E+00
5.4331189138752E-01,4.39042957672043E-01
-2.19541028331213E-01,-1.08403662067193E+00
3.51780110681358E-01,3.79235533535587E-01
-4.70032882700875E-01,-2.16731470575539E-01
-9.30156502524321E-01,-1.78589092087329E-01
-1.55042934508348E+00,4.17318821031835E-01
-9.44368490824294E-01,2.38103147832312E-01
-1.4059629162679E+00,-5.9005764586954E-01
-1.10489405065928E-01,-1.66069981186926E+00
1.15147873140092E-01,-3.79147562879923E-01
-1.74235619780923E+00,-1.30324275411232E+00
6.05120084082167E-01,8.95555985551324E-01
-1.31908639779967E-01,4.04761812040497E-01
2.23843563312911E-01,3.29622982127738E-01
1.28598400708029E+00,-1.50699839821427E+00
6.76460732361623E-01,-3.8200895557782E-01
-2.2425893425164E-01,-3.0224973045507E-01
-3.75147116661284E-01,-1.22619619178302E+00
1.83339199257601E-01,1.67094303278886E+00
-5.61330204487571E-02,-1.38504273509573E-03
-6.87299037156664E-01,-1.17474546418111E-01
4.66166426034031E-01,-3.70242440704343E-01
-4.53804041052001E-01,4.03264540163247E-01
-9.18004769819045E-01,2.52496627076872E-01
8.20321797261422E-01,1.35994854167948E+00
-9.03820072769468E-02,1.36759723980671E+00
1.03440988648152E+00,-9.96212640371066E-01
-1.21793851159315E+00,-3.0496363785442E-01
1.02893549259485E+00,-7.22870075600049E-02
-6.00657557657788E-01,1.55224318004856E+00
2.86904488003346E-01,-2.32059427579074E+00
3.17160626292689E-01,5.20040614570868E-01
2.25608654471104E-01,4.49712100231993E-01
-6.72756089229817E-02,-1.31839586964473E+00
-3.70704003220453E-01,-9.45615795556291E-01
-9.32740910794378E-01,-1.26306834910228E+00
4.52489092639646E-01,9.78961454126271E-02
-4.48165362680708E-01,-6.49337927730388E-01
-2.34231050214522E-02,1.07919472811249E+00
-2.00421571549892E+00,3.76876520850893E-01
-5.45711974017782E-01,-1.88458584497945E+00
-1.94570308316396E+00,-9.12783494135292E-01
2.19509555793045E-01,3.93062933980092E-01
-9.38981572677785E-01,1.01702099141324E+00
1.42298349651611E+00,3.9608658495656E-01
-5.91402667808111E-01,1.12441918451037E+00
7.55395695663338E-01,8.67407411354918E-01
-6.56463674971531E-01,-2.8345545052747E+00
2.11679102148368E+00,-1.61087840344993E+00
-3.57680718602211E-02,2.38074535121975E+00
3.30576756274374E-01,9.49246473558236E-01
-1.50239656938171E+00,-1.77766695473371E+00
-5.32702791979555E-01,1.0907497344345E+00
-3.4624944764731E-01,-7.94636321071499E-01
1.97967289944967E-01,1.08193521847727E+00
-1.44494019907337E+00,-1.21054299412335E+00
-7.88669254509366E-01,1.09463837471209E+00
2.34821525948732E-01,2.13215341057044E+00
9.36445725831116E-01,-3.50951768696704E-02
1.26507783808877E+00,2.11497012731878E-01
-7.04921352507445E-01,6.79974844245102E-01
-6.96326653861083E-01,-2.90397100803867E-01
1.32778269595798E+00,-1.01281486217399E-01
-8.03141387341628E-01,-4.64337691435492E-01
1.02179058558867E+00,-5.52540673416729E-01
-3.86870846850647E-01,-5.10292739633629E-01
1.8392549434031E-01,-3.85489760375608E-01
-1.60183604897254E+00,-8.8718094184504E-01
-9.32789041506438E-01,1.24331938445515E+00
8.12674042109042E-01,5.87259379399826E-01
-5.0535831726441E-01,-8.15791541993971E-01
-5.07517601657357E-01,-1.05188010255167E+00
2.49720039158701E+00,-2.2453216483714E+00
5.64008535073809E-01,-1.28455229799253E+00
-1.04343491494693E-01,-9.88001942493734E-01
-1.17762896248263E+00,-1.14019630093496E+00
1.75498615374206E+00,-1.32988422309592E-01
-7.65702194478086E-01,5.55786964082873E-01
1.03493145662994E-02,7.20033759341653E-01
-1.82425665593783E+00,3.03603904462001E-01
7.72694837102382E-01,-1.66159829111456E+00
4.48195284423312E-01,1.69618157282816E+00
-1.48577033547027E-02,8.21405937024811E-01
6.7057045031091E-01,-7.07505697510577E-01
3.97667345864952E-02,-1.5669947108616E+00
-4.51303037102526E-01,2.65687974966236E-01
7.23100493737798E-01,2.46121252479116E-02
7.19983730143165E-01,-1.10290621295537E+00
-1.01697274554872E-01,1.92793845130772E-02
1.84959124667964E+00,-2.14166656200084E-01
-4.99016637994183E-01,2.13512238435486E-02
-9.19113444869944E-01,1.92753849065216E-01
-3.65055216546258E-01,-1.79132754804118E+00
-5.85865511338608E-02,-3.17543093930199E-01
-1.63242330206798E+00,-6.71341546145218E-02
1.48935596207448E+00,5.21303748275714E-01
6.11927192731158E-01,-1.34149672558304E+00
4.76898368922222E-01,1.48449581380078E-01
5.29045238334432E-01,4.22628621708826E-01
-1.35978072550381E+00,-4.14008115579674E-02
-7.57870860425166E-01,-5.00840942848221E-02
-8.9740092690183E-01,1.312470367141E+00
-8.58972388444342E-01,-8.98942156465536E-01
7.45864065435535E-02,-1.07709906940399E+00
-4.24663302432866E-01,-8.29964597537962E-01
1.41117206388961E+00,7.85803826831173E-01
-5.74695184653946E-02,-3.91217052174016E-01
9.40917614575113E-01,4.05204080322888E-01
4.98052404682857E-01,-2.61922373442505E-02
-1.68823002777143E+00,-1.12465982559553E-01
-5.32489919209068E-01,6.45055273459877E-01
1.01184243299419E+00,-6.57951044761169E-01
4.68385234277052E-01,1.73587899768571E+00
-6.67712720570559E-01,1.68192174007314E+00
-8.52585847170647E-01,2.29597556079514E-02
-1.11456118418413E-02,1.14988998700624E-02
-8.37678041907945E-01,-5.9118310376443E-01
-6.67720286359399E-01,3.26962595404457E-01
3.30035114510312E-01,2.22594433173826E+00
1.37098900629112E+00,-5.09843242138479E-01
3.24869615796186E-01,9.9711798079176E-01
3.06018243385178E-02,-6.96415784469356E-02
5.1574942769889E-02,8.67276628808428E-01
-8.48320522805233E-01,-3.25669468820174E-01
4.70433144846482E-01,3.11447071554156E-01
2.39582759856391E-01,-3.69801166303803E-01
9.72535789142537E-01,2.13386824720454E+00
4.06415493676206E-01,-1.9317670154984E-01
7.55740288894543E-01,-5.3913263675299E-01
-7.49690344702897E-01,3.28087476137118E-02
-2.58279663296994E+00,-1.15395036365201E+00
-3.47961855920846E-01,-1.35338885814771E+00
-1.03264310189213E+00,-4.36748337458007E-01
-1.64296529353061E+00,-4.06071796259832E-01
-5.35270164532844E-01,2.5405208385016E-02
1.15418403049402E+00,1.72504416492866E-01
2.10620213420636E-02,9.94544570307117E-02
2.27392775121128E-01,-1.01673864860977E+00
-1.14775324770798E-01,3.08751241836613E-01
-1.37075998254306E+00,8.65652922815853E-01
1.08137603445819E+00,-6.31375988449389E-01
-2.41337791453105E-01,-8.78190342810073E-01
6.99380483587817E-01,-1.06122228744591E+00
-2.2247701024292E-01,-8.58919907807672E-01
5.09542770112895E-02,-1.79422927148972E+00
