id,zipcode,lot-len,lot-width,lot-area,house-area,garden-size,balcony,x-coor,y-coor,buildyear,bathrooms,taxvalue,energy-eff,monument,select
150219,3528,10.7,5.2,55.6,93.6,5.2,0,2068,5055,1935,1,419000,0,1,0
880377,3800,18.6,6.2,115.3,111.6,40.9,2,2861,5056,1927,1,539000,0,1,0
110456,3528,12.7,5.2,66,117,5.2,0,2267,5118,1941,1,521000,0,1,0
520728,3800,16.2,6.3,102.1,141.75,26.5,2,2615,5150,1940,1,649000,0,1,0
881551,3800,17.6,8.1,142.6,182.25,69.7,2,2756,5359,1960,1,843000,0,1,0
801846,3528,12.2,8,97.6,144,8,0,2219,5450,1961,2,654000,1,0,0
892303,3800,15,10.9,163.5,196.2,54.5,2,2504,5559,1981,1,916000,0,1,0
342684,3525,14,11,154,148.5,22,2,2401,5667,1986,1,717000,0,0,0
112919,3500,15.6,6.5,101.4,146.25,29.9,1,2558,5719,1991,1,666000,0,0,0
263115,3500,15.6,10.3,160.7,185.4,68,2,2558,5762,1989,2,870000,1,0,0
343515,3500,15.5,7.5,116.3,101.25,33.8,1,2554,5855,2007,1,498000,1,0,0
503555,3500,17.6,8.3,146.1,186.75,54.8,1,2756,5869,2000,2,864000,1,0,0
160951,3800,17.7,6.7,118.6,90.45,51.6,1,2769,5201,1948,1,457000,1,1,1
441145,3800,17.1,6.3,107.7,85.05,51,1,2711,5266,1953,1,426000,1,0,1
661333,3800,16.7,6.6,110.2,118.8,31,2,2666,5300,1950,1,563000,0,1,1
502209,3525,10,10.5,105,141.75,10.5,1,2001,5557,1980,1,651000,0,0,1
392412,3525,10.5,10.1,106.1,181.8,10.1,2,2050,5611,1982,2,812000,1,0,1
713263,3525,13.2,7.9,104.3,106.65,25.3,1,2319,5807,2002,1,510000,0,0,1
550499,3528,14.6,6.3,92,141.75,22.7,1,2457,5103,1933,1,641000,0,1,2
950556,3800,17.6,6.3,110.9,113.4,35.3,2,2759,5115,1930,1,542000,0,1,2
340991,3800,19.6,5.2,101.9,93.6,55.1,1,2957,5203,1947,1,456000,0,1,2
141725,3800,16.1,9.8,157.8,220.5,59.8,1,2613,5413,1961,2,1008000,1,1,2
843131,3500,16.5,7.4,122.1,133.2,33.3,1,2650,5757,1994,1,630000,0,0,2
773490,3525,14.6,7.9,115.3,142.2,36.3,1,2461,5861,2008,2,661000,1,0,2
723823,3525,11.1,7.1,78.8,95.85,7.1,0,2112,5965,2009,1,446000,1,0,2
260073,3528,13.7,5.5,75.4,74.25,20.4,1,2366,5008,1926,1,357000,1,1,3
850261,3528,13.1,5.9,77.3,106.2,18.3,1,2314,5053,1935,1,487000,0,1,3
640272,3528,13.6,7,95.2,94.5,25.2,1,2359,5062,1935,1,454000,0,1,3
530294,3528,14.5,6.8,98.6,91.8,23.8,1,2454,5058,1935,1,446000,0,1,3
110648,3528,12.1,5.1,61.7,68.85,5.6,0,2214,5163,1937,1,325000,1,0,3
320705,3800,15,5.8,87,130.5,17.4,2,2500,5155,1943,2,592000,1,1,3
990899,3528,14.6,6,87.6,108,33.6,2,2460,5208,1942,1,502000,0,1,3
511276,3528,13.6,5.7,77.5,128.25,9.1,0,2364,5301,1949,1,575000,0,1,3
201500,3800,15.1,10.1,152.5,181.8,61.6,1,2510,5364,1960,2,849000,1,1,3
241677,3528,13.6,9.3,126.5,125.55,42.8,1,2360,5409,1967,1,603000,0,0,3
592273,3525,13.7,8.5,116.5,153,23,2,2367,5554,1980,2,705000,1,0,3
483612,3525,10.6,7.6,80.6,171,7.6,0,2063,5916,2003,2,748000,1,0,3
383972,3500,18.5,6.8,125.8,91.8,51,1,2850,5968,2013,1,468000,1,0,3
320326,3800,16.2,7,113.4,94.5,36.4,1,2618,5065,1935,1,469000,0,1,4
130624,3528,11.1,5.7,63.3,102.6,6.3,0,2105,5159,1944,1,461000,0,0,4
340803,3528,10.1,5.9,59.6,132.75,6.5,0,2014,5207,1943,2,579000,1,1,4
891174,3800,18.7,5.4,101,121.5,41.6,2,2869,5257,1953,1,567000,0,1,4
921562,3800,18.1,8.3,150.2,149.4,50.6,2,2813,5362,1961,1,718000,0,1,4
501619,3528,10.6,8.6,91.2,193.5,8.6,0,2061,5419,1965,2,847000,1,1,4
561871,3525,13.7,9.4,128.8,126.9,25.4,1,2369,5463,1969,1,611000,0,0,4
142140,3800,17,10.4,176.8,187.2,52,1,2702,5501,1975,2,890000,1,1,4
612738,3500,16.6,10,166,135,46,2,2662,5658,1980,1,673000,0,0,4
732809,3525,10.2,8.3,84.7,186.75,10,1,2015,5700,1991,1,815000,0,0,4
952973,3500,18.7,7.1,132.8,159.75,68.9,2,2866,5707,1994,2,745000,1,0,4
150912,3800,15.7,5.5,86.4,123.75,20.4,2,2566,5218,1941,1,564000,0,1,5
641129,3800,16.2,6.3,102.1,85.05,39.1,1,2616,5251,1943,1,422000,1,1,5
571467,3528,13,6.4,83.2,144,12.8,2,2302,5359,1954,2,643000,1,1,5
471539,3800,16.6,9,149.4,162,68.4,2,2663,5358,1958,2,768000,1,1,5
632707,3500,15.2,9.9,150.5,222.75,51.5,1,2515,5650,1989,1,1011000,0,1,5
122872,3525,13.5,8.2,110.7,184.5,28.7,1,2351,5710,1993,2,827000,1,0,5
562950,3500,17.6,6.6,116.2,148.5,43.6,1,2764,5714,1992,2,687000,1,0,5
173174,3500,18.5,7.8,144.3,175.5,50.7,2,2850,5760,1991,2,817000,1,0,5
653427,3525,11.1,7.4,82.1,133.2,7.4,0,2114,5855,2008,2,598000,1,0,5
623504,3500,15.2,6.8,103.4,153,28.6,1,2519,5860,2007,1,695000,1,0,5
573815,3525,10.7,7,74.9,94.5,7,0,2069,5960,2008,1,438000,1,0,5
993992,3500,19.7,7.8,153.7,140.4,60.1,2,2969,5968,2009,1,685000,1,0,5
360311,3800,15.6,5.3,82.7,119.25,29.7,1,2555,5054,1926,1,543000,0,1,6
310472,3528,13.6,5.5,74.8,123.75,8.8,0,2359,5119,1937,1,555000,0,1,6
290766,3800,18.2,6.1,111,109.8,43.9,2,2817,5152,1939,1,528000,0,1,6
731058,3528,12.5,5.6,70,75.6,5.6,0,2251,5268,1944,1,358000,1,0,6
811204,3528,10.1,5.4,54.5,121.5,5.4,0,2005,5316,1951,2,530000,1,0,6
391239,3528,11.5,9.7,111.6,130.95,24.3,2,2154,5318,1955,2,613000,1,1,6
422236,3525,11.7,8.9,104.1,200.25,24,2,2168,5552,1973,2,884000,1,1,6
962346,3800,17.1,8,136.8,180,48.8,1,2712,5559,1979,1,829000,0,1,6
282637,3525,11.5,9.1,104.7,122.85,13.7,2,2153,5661,1982,1,575000,0,0,6
112712,3500,15.5,10.6,164.3,143.1,68.9,2,2550,5661,1983,2,704000,1,0,6
333885,3525,14.1,7.7,108.6,138.6,39.3,2,2413,5966,2017,2,641000,1,0,6
203929,3500,16.2,7.9,128,106.65,56.9,2,2615,5951,2012,1,529000,1,0,6
270347,3800,17.2,5.1,87.7,114.75,31.6,1,2719,5068,1931,1,529000,0,1,7
780857,3528,12.5,5.3,66.3,95.4,13.3,1,2250,5218,1948,1,435000,0,0,7
741478,3528,13.7,8.2,112.3,147.6,30.3,2,2368,5357,1956,1,680000,0,1,7
701585,3800,19,6.9,131.1,93.15,48.3,1,2902,5350,1953,1,477000,0,1,7
871768,3800,18.2,10.9,198.4,245.25,78.5,1,2818,5418,1967,1,1140000,0,1,7
902321,3800,16.1,9.7,156.2,174.6,39.8,2,2607,5559,1981,2,823000,1,1,7
522697,3525,14.7,9.1,133.8,122.85,33.7,2,2466,5669,1986,2,598000,1,0,7
